Type	Top	accuracy	precision	recall	f1	spe	gm	fm	f2
Two_part	28	0.75862069	0.888888889	0.571428571	0.695652174	0.933333333	0.730296743	0.712696645	0.708860759
Two_part	29	0.75862069	0.888888889	0.571428571	0.695652174	0.933333333	0.730296743	0.712696645	0.708860759
GMPT	1	0.551724138	1	0.071428571	0.133333333	1	0.267261242	0.267261242	0.133333333
GMPT	2	0.586206897	1	0.142857143	0.25	1	0.377964473	0.377964473	0.25
GMPT	3	0.620689655	1	0.214285714	0.352941176	1	0.46291005	0.46291005	0.352941176
GMPT	4	0.655172414	1	0.285714286	0.444444444	1	0.534522484	0.534522484	0.444444444
GMPT	5	0.689655172	1	0.357142857	0.526315789	1	0.597614305	0.597614305	0.526315789
GMPT	6	0.724137931	1	0.428571429	0.6	1	0.654653671	0.654653671	0.6
GMPT	7	0.75862069	1	0.5	0.666666667	1	0.707106781	0.707106781	0.666666667
GMPT	8	0.793103448	1	0.571428571	0.727272727	1	0.755928946	0.755928946	0.727272727
GMPT	9	0.827586207	1	0.642857143	0.782608696	1	0.801783726	0.801783726	0.782608696
GMPT	10	0.793103448	0.9	0.642857143	0.75	0.933333333	0.774596669	0.760638829	0.761329305
GMPT	11	0.827586207	0.909090909	0.714285714	0.8	0.933333333	0.816496581	0.805822964	0.809248555
GMPT	12	0.793103448	0.833333333	0.714285714	0.769230769	0.866666667	0.786795792	0.77151675	0.78313253
GMPT	13	0.827586207	0.846153846	0.785714286	0.814814815	0.866666667	0.825198389	0.815374248	0.824207493
GMPT	14	0.793103448	0.785714286	0.785714286	0.785714286	0.8	0.792824967	0.785714286	0.792792793
GMPT	15	0.827586207	0.8	0.857142857	0.827586207	0.8	0.828078671	0.828078671	0.827586207
GMPT	16	0.793103448	0.75	0.857142857	0.8	0.733333333	0.792824967	0.801783726	0.790419162
GMPT	17	0.75862069	0.705882353	0.857142857	0.774193548	0.666666667	0.755928946	0.777844468	0.75
GMPT	18	0.724137931	0.666666667	0.857142857	0.75	0.6	0.717137166	0.755928946	0.705882353
GMPT	19	0.689655172	0.631578947	0.857142857	0.727272727	0.533333333	0.676123404	0.735767207	0.657534247
GMPT	20	0.655172414	0.6	0.857142857	0.705882353	0.466666667	0.632455532	0.717137166	0.604316547
GMPT	21	0.689655172	0.619047619	0.928571429	0.742857143	0.466666667	0.658280589	0.758175397	0.62116041
GMPT	22	0.655172414	0.590909091	0.928571429	0.722222222	0.4	0.6094494	0.740743747	0.559139785
GMPT	23	0.620689655	0.565217391	0.928571429	0.702702703	0.333333333	0.55634864	0.724461676	0.490566038
GMPT	24	0.586206897	0.541666667	0.928571429	0.684210526	0.266666667	0.497613352	0.709208143	0.414342629
GMPT	25	0.551724138	0.52	0.928571429	0.666666667	0.2	0.430945804	0.694879229	0.329113924
GMPT	26	0.517241379	0.5	0.928571429	0.65	0.133333333	0.351865775	0.681385144	0.233183857
GMPT	27	0.482758621	0.481481481	0.928571429	0.634146341	0.066666667	0.248806676	0.66864785	0.124401914
GMPT	28	0.517241379	0.5	1	0.666666667	0.066666667	0.25819889	0.707106781	0.125
GMPT	29	0.482758621	0.482758621	1	0.651162791	0	0	0.694808334	0
